user_id,username,email,password_hash,role,date_joined
2d4c4fea-3e3e-497b-b3a7-161a22fd2185,mccartyheidi,loretta18@example.com,6NNPfuVCDxaoHCmXavGUPNSHiqcI9fwM9qA55H6tawFCNaTHjpmQSKZVPddSArtj,Employee,2023-05-06T12:07:04
7f293d2b-8874-46b9-838c-8531732ef0d6,amandacooper,joycemorris@example.com,AODF3cRmoKZXFxgyBaMw2XWA6W0DLTJCsGD2726TKDfUphFiA608QcNOn6humBOy,Admin,2023-10-19T20:22:44
96034307-900d-47ad-a243-3b693f196b17,jeremy46,tracymills@example.org,jHCH6UxVEegqczjrO1JnOZ7UFC2HwR3YbYp5PxwmRHbxWHHy9rXpjEYMf3JGsHXW,Employee,2025-02-03T08:26:52
7258e4d8-aa1d-4591-ac48-9a6a0673e6f8,anita58,kaylaperry@example.org,DsEUgcaEKvJZ2vN9G6omlekCCepkM3W8YbbL2TnXNFpKcrErwx2lgKggZrNXJ2Gj,Employee,2023-07-02T04:04:33
ca559213-b39d-4fc0-aefa-548e24cbad22,mblack,ihuber@example.org,gGbQshnME94B0GAtHptXNkT7PgLRkeh8SlFmTwNaSdue3VqbY9aStCmk8GLt1rj9,Employee,2024-01-30T10:58:17
43bdeeb9-8d40-4341-8f49-765dc91c1601,cynthia75,laura24@example.com,Ex2mQHv2mnQd4q4VQ3oLTe8QnoeXD2RSxXSGDEn2TXNXZsthyM7fWjLSXf3kIQzE,Employee,2023-07-20T10:54:09
e0b15063-c124-4361-9829-a7e14b90a373,maxwellkatie,michael79@example.org,CslhtzuYjRrdB72ZanKRwTgUTz2tFup8YCPdyBUgSaskJkxagzgAVQRYyYyxxN0v,Employee,2024-01-14T22:42:04
ecf07a72-dec6-4134-8ee8-9e289d2f5f7f,joshua94,omorgan@example.net,4XyPSuaFDj0JWytIbImgtaXddUpLsO2qIr0UvFQ2HIbbzIgGqvLeqKoRiZEg0rG9,Employee,2024-08-04T17:40:21
414c100d-b69b-4fa5-969e-a302e25987ce,ufrazier,cheryl38@example.com,qovPzIYXakIUwUda5cTEBnxMJ6vEfrzk5pCJl1ZtIFle6eBMNHeNgxRco9AEXEcI,Employee,2024-10-15T19:20:43
f804d19b-f85b-4842-8a8b-3a9f41aeac87,jasonaguirre,riosmatthew@example.net,X0aj4xrrvYOGIY3xcjY6iQNxwVqzj1YlDQWsd0gu2pvMLZlDCwg9b9X3XScUDZBI,Employee,2023-12-28T00:57:45
